review,stemmed_review,final_login_verifikasi,final_efisiensi,final_layanan_pengguna,final_responsivitas
"aku kasih Bintang 5 buat aplikasi ini, soalnya mudah di gunakan ga ribet. suka banget 🤍","['kasih', 'bintang', 'mudah', 'ribet', 'suka', 'banget']",0,2,0,0
"The rill sangat meringankan salah satu kesusahan dalam hidup, gaakan uninstall ini mah. Butuh terus soalnya. Mantap👍👍👍","['the', 'rill', 'ringan', 'salah', 'susah', 'hidup', 'gaakan', 'uninstall', 'mah', 'butuh', 'mantap']",0,2,0,0
"Uninstal!! lihat di medsos, CS privy maki konsumen ""NJINGG"".","['uninstal', 'lihat', 'medsos', 'cs', 'maki', 'konsumen', 'njingg']",0,0,1,0
Aplikasi ini sangat praktis untuk digunakan dan bagus untuk pembuatan TTD digital atau elektronik. Good,"['praktis', 'bagus', 'buat', 'ttd', 'digital', 'elektronik', 'good']",0,2,0,0
"Alhamdulillah berkat aplikasi ini sekarang udah terbantuuuu banget bikin TTD elektronik, recommended bgt!!! makasih privy 🫶🏻","['alhamdulillah', 'berkat', 'terbantuuuu', 'banget', 'bikin', 'ttd', 'elektronik', 'recommended', 'banget', 'terima kasih']",0,2,0,0
"Aplikasi ini sangat membantu untuk keperluan administrasi, tanda tangan digital dan e-materai.","['bantu', 'perlu', 'administrasi', 'tanda', 'tangan', 'digital', 'ematerai']",0,2,0,0
"sejak tau aplikasi privy prefer pake aplikasi ini buat keperluan administrasi beli e-materai dan buat ttd elektronik, trusted dan ga banyak step juga. mantap pokoknya👍","['tau', 'prefer', 'pakai', 'perlu', 'administrasi', 'beli', 'ematerai', 'ttd', 'elektronik', 'trusted', 'step', 'mantap', 'pokok']",0,2,0,0
account yg sangat mengecewakan. bahkan untuk menutupnya pun sangat sulit,"['account', 'kecewa', 'tutup', 'sulit']",0,1,0,0
RIBET VERIF KTP SGALA,"['ribet', 'verif', 'ktp', 'sgala']",1,0,0,0
simple ga bikin ribet. Sangat membantu apalagi pembelian e materai 👍😍,"['simple', 'bikin', 'ribet', 'bantu', 'beli', 'e', 'materai']",0,2,0,0
"Wahhh ini aplikasi keren banget sih, cocok untuk para pekerja yang ngelamar kerja online. Worth it banget untuk para pelamar kerja saat ini. Apalagi kan sekarang sudah masuk era digital jadi lebih gampang dan efisien","['keren', 'banget', 'sih', 'cocok', 'kerja', 'ngelamar', 'kerja', 'online', 'worth', 'banget', 'lamar', 'kerja', 'masuk', 'era', 'digital', 'gampang', 'efisien']",0,2,0,0
Ahirnya nemu aplikasi yang bangus banget dan sangat membantu dalam pekerjaan,"['ahirnya', 'nemu', 'bangus', 'banget', 'bantu', 'kerja']",0,2,0,0
Easy to use ya ga pake ribet kalo lg butuh ttd elektronik yang sat set privy solusinya 🙌🙌,"['easy', 'use', 'ya', 'pakai', 'ribet', 'kalo', 'butuh', 'ttd', 'elektronik', 'sat', 'set', 'solusi']",0,2,0,0
"aku sebagai pelajar jurusan adminitrasi tau aplikasi ini ngebantu banget asli, transaksi apapun jadi lebih gampang dan mudahh🤩🤩🤩🤩","['ajar', 'jurus', 'adminitrasi', 'tau', 'bantu', 'banget', 'asli', 'transaksi', 'apa', 'gampang', 'mudahh']",0,2,0,0
"recommended banget aplikasi ini (privy), aplikasinya sangat bagus dan membantu banget yang mau beli e-materai dan juga mau buat tanda tangan digital, sangat membantu buat yang kerja kantoran..","['recommended', 'banget', 'aplikasi', 'bagus', 'bantu', 'banget', 'beli', 'ematerai', 'tanda', 'tangan', 'digital', 'bantu', 'kerja', 'kantor']",0,2,0,0
aplikasi nya memudahkan banget sih ini 🤩,"['nya', 'mudah', 'banget', 'sih']",0,2,0,0
waktu tanda tangan elektronik banyak yang eror aku udah ga bingung soalnya beli di privy langsung sat set pokoknya 👏,"['tanda', 'tangan', 'elektronik', 'eror', 'bingung', 'beli', 'langsung', 'sat', 'set', 'pokok']",0,0,0,2
"Gampang banget buat dipakai, buat bikin ttd elektronik jadi makin cepet, terima kasih Privy!","['gampang', 'banget', 'pakai', 'bikin', 'ttd', 'elektronik', 'cepat', 'terima', 'kasih']",0,2,0,0
"Worth it banget buat kalian yang bingung mau bikin ttd digital, aplikasi ini solusinya cocok banget buat kerja kantoran yang butuh ttd digital, mudah digunakan simple aja ngga bikin ribet","['worth', 'banget', 'bingung', 'bikin', 'ttd', 'digital', 'solusi', 'cocok', 'banget', 'kerja', 'kantor', 'butuh', 'ttd', 'digital', 'mudah', 'simple', 'bikin', 'ribet']",0,2,0,0
"Recommend banget aplikasi ini bagus sekali, dan sangat mudah untuk di gunakan,untuk ttd elektronik dan e matrei , ini kerenn bangett dehhh","['recommend', 'banget', 'bagus', 'mudah', 'gunakanuntuk', 'ttd', 'elektronik', 'e', 'matrei', 'keren', 'banget', 'deh']",0,2,0,0
"Aplikasi nya sangat membantu , bagus deh pokonya . Ttd digital gak susah lagi....","['nya', 'bantu', 'bagus', 'deh', 'pokok', 'ttd', 'digital', 'susah']",0,2,0,0
ini yang selama ini ku cari buat ttd digital mudah ga ribet,"['ku', 'cari', 'ttd', 'digital', 'mudah', 'ribet']",0,2,0,0
"Aplikasi nya bagus banget, mudah di gunakan.. sangat membantu pekerjaan","['nya', 'bagus', 'banget', 'mudah', 'bantu', 'kerja']",0,2,0,0
Bintang 5 buat privy gampang banget digunainnya mudah dimengerti highly recommended,"['bintang', 'gampang', 'banget', 'digunainnya', 'mudah', 'erti', 'highly', 'recommended']",0,2,0,0
"dari aku 5/5 , karena gampang banget penggunanya, ga terlalu banyak step juga. udah coba buat tanda tangan digital juga","['gampang', 'banget', 'guna', 'step', 'coba', 'tanda', 'tangan', 'digital']",0,2,0,0
Ini super gampang banget digunainnya karena stepnya mudah dimengertii loh. inii cocok banget buat pekerja untuk ttd eletronik hahaha…. keren dan good job banget Privy🙌,"['super', 'gampang', 'banget', 'digunainnya', 'step', 'mudah', 'erti', 'loh', 'cocok', 'banget', 'kerja', 'ttd', 'eletronik', 'hahaha', 'keren', 'good', 'job', 'banget']",0,2,0,0
"nais, gamoang banget digunakan dalam pemakaian, berkirim dokumen jadi gampang. pakde saya aja bisa menggunakan kok. thankz🙏🏻😁","['nais', 'gamoang', 'banget', 'pakai', 'kirim', 'dokumen', 'gampang', 'pakde', 'thankz']",0,2,0,0
aplikasi yg dibutuhkan banget nih buat ttd elektronik cocok buat para pencari kerja,"['butuh', 'banget', 'nih', 'ttd', 'elektronik', 'cocok', 'cari', 'kerja']",0,2,0,0
worth to try banget buat yg mau bikin TTD digital apk ini bener2 mempermudah,"['worth', 'try', 'banget', 'bikin', 'ttd', 'digital', 'apk', 'mudah']",0,2,0,0
aplikasinya sangat membantu tiap bikin ttd digital dimanapun. very easy to use recomended sekali ⭐⭐⭐⭐⭐,"['aplikasi', 'bantu', 'bikin', 'ttd', 'digital', 'mana', 'very', 'easy', 'use', 'recomended']",0,2,0,0
Mantap . Aplikasi yg memudahkan & bantu para pekerja bikin ttd eletronik. Naisseuuu,"['mantap', 'mudah', 'bantu', 'kerja', 'bikin', 'ttd', 'eletronik', 'naisseuuu']",0,2,0,0
Aplikasi tanda tangan digital favoritku. Simple dan gak ribet.,"['tanda', 'tangan', 'digital', 'favorit', 'simple', 'ribet']",0,2,0,0
aplikasi yang sangat membantu. Dengan tanda tangan digital saya jadi ga repot lg. Thank you privy,"['bantu', 'tanda', 'tangan', 'digital', 'repot', 'thank', 'you']",0,2,0,0
"gak perlu mikirin lagi kalo mau tanda tangan digital, tinggal pakai ni aplikasi beres, recommended banget sih buat kita yang anti ribet","['pikir', 'kalo', 'tanda', 'tangan', 'digital', 'tinggal', 'pakai', 'nih', 'beres', 'recommended', 'banget', 'sih', 'anti', 'ribet']",0,2,0,0
"Keren banget, sekarang tanda tangan digital jadi lebih gampang, pokonya bintang 5 deh😍","['keren', 'banget', 'tanda', 'tangan', 'digital', 'gampang', 'pokok', 'bintang', 'deh']",0,2,0,0
Keren sih aplikasinya. Sekarang bisa ttd digital tanpa repot lagi.,"['keren', 'sih', 'aplikasi', 'ttd', 'digital', 'repot']",0,2,0,0
"Aplikasi yang sangat bagus, sangat recommended sekali untuk membuat tanda tangan digital👍👍👍👍","['bagus', 'recommended', 'tanda', 'tangan', 'digital']",0,2,0,0
"aku gunain ini pas daftar cpns kmaren dan semua tahapannya lancar abis, terima kasih developer. semoga ke depan update nya lebih baik lg dan terus bantu aku buat ttd digital","['gunain', 'pas', 'daftar', 'cpns', 'kemarin', 'tahap', 'lancar', 'habis', 'terima', 'kasih', 'developer', 'moga', 'update', 'nya', 'bantu', 'ttd', 'digital']",0,2,0,2
"nice app, sangat membantu utk pembuatan ttd digital, worth to try dan very reccomended!!","['nice', 'app', 'bantu', 'buat', 'ttd', 'digital', 'worth', 'try', 'very', 'reccomended']",0,2,0,0
Ini membantu banget buat mempermudah urusan administrasi. Bisa tanda tangan di mana saja dan kapan saja. Terima kasih privy...terbaik!!,"['bantu', 'banget', 'mudah', 'urus', 'administrasi', 'tanda', 'tangan', 'terima', 'kasih', 'privyterbaik']",0,2,0,0
"Buat kalian yang bingung tiap kali mau bikin ttd digital, cobain deh aplikasi ini, aku udah coba sendiri dan ternyata worth to try bangettt","['bingung', 'kali', 'bikin', 'ttd', 'digital', 'coba', 'deh', 'coba', 'worth', 'try', 'banget']",0,2,0,0
"Aplikasi nya gampang digunakan, rekomended sih buat yg mau bikin tanda tangan digital. Bintang 5 pokoknyaaa","['nya', 'gampang', 'rekomended', 'sih', 'bikin', 'tanda', 'tangan', 'digital', 'bintang', 'pokoknyaaa']",0,2,0,0
kalo bisa kasih bintang 10 bakal aku kasih dehh bintang 10 buat aplikasi se berguna ini🥹 sukak banget!! makasih banyak privy♡,"['kalo', 'kasih', 'bintang', 'kasih', 'deh', 'bintang', 'guna', 'suka', 'banget', 'terima kasih']",0,2,0,0
"aplikasi ini bener-bener membantu banget, buat ngurus ttd digital jadi gampang pol. mantap","['benerbener', 'bantu', 'banget', 'urus', 'ttd', 'digital', 'gampang', 'pol', 'mantap']",0,2,0,0
"Aplikasi ini sangat mempermudah keperluan administrasi dan kalo untuk ttd dokumen juga lebih cepat pakek apk ini, mantap deh👍","['mudah', 'perlu', 'administrasi', 'kalo', 'ttd', 'dokumen', 'cepat', 'pakai', 'apk', 'mantap', 'deh']",0,2,0,0
Tanda tangan digital kini lebih mudah dan aman dengan Privy! 🌟 Nikmati kemudahan menandatangani dokumen secara digital dengan teknologi kriptografi asimetris dan infrastruktur keamanan publik.,"['tanda', 'tangan', 'digital', 'mudah', 'aman', 'nikmat', 'mudah', 'menandatangani', 'dokumen', 'digital', 'teknologi', 'kriptografi', 'asimetris', 'infrastruktur', 'aman', 'publik']",0,2,0,0
"aplikasi yang bagus nih, penggunaan nya gampang pula. nice pokoknya 👍👍","['bagus', 'nih', 'guna', 'nya', 'gampang', 'nice', 'pokok']",0,2,0,0
Sumpah apk tersimpel kalau lg butuh e materai,"['sumpah', 'apk', 'simpel', 'butuh', 'e', 'materai']",0,2,0,0
"Rekomended bgt aplikasinya, mudah digunakan, kalo lagi butuh TTD dokumen cepet langsung buka aplikasi ini aja.","['rekomended', 'banget', 'aplikasi', 'mudah', 'kalo', 'butuh', 'ttd', 'dokumen', 'cepat', 'langsung', 'buka']",0,2,0,0
"Aplikasi yang bagus dan sangat berguna, terutama bagi yang harus sering menggunakan tanda tangan digital.","['bagus', 'guna', 'tanda', 'tangan', 'digital']",0,2,0,0
aplikasi sampah jangan pernah menggunakan anda akan menyesal sangat ribet dan tidak seamless mending jangan pernah pake. aku dijebak pluang seandainya tidak ada pluang saya tidak akan pernah download balikin kuota ku woy privy,"['sampah', 'sesal', 'ribet', 'seamless', 'mending', 'pakai', 'jebak', 'pluang', 'anda', 'pluang', 'download', 'balikin', 'kuota', 'ku', 'woy']",0,1,0,0
"aplikasinya sangat memudahkan banget apalagi dengan jarak jauh, dan aplikasinya juga bagus gak ribet mudah dipake, pokoknya the best aplikasinya membantu banget","['aplikasi', 'mudah', 'banget', 'jarak', 'aplikasi', 'bagus', 'ribet', 'mudah', 'pakai', 'pokok', 'the', 'best', 'aplikasi', 'bantu', 'banget']",0,2,0,0
"keren banget sih aplikasi ini, bikin administrasi beli e-materai dan buat ttd elektronik semuanya tuh lbih praktis, ini yang buat ku suka pake aplilasinya","['keren', 'banget', 'sih', 'bikin', 'administrasi', 'beli', 'ematerai', 'ttd', 'elektronik', 'tuh', 'praktis', 'ku', 'suka', 'pakai', 'aplilasinya']",0,2,0,0
"Aplikasi ga lemot dan proses pembubuhan jg cepet jd amat sgt rekomended buat yg butuh ematerai di segala dokumen, bintang 5 deh pokoknyaa","['lot', 'proses', 'bubuh', 'cepat', 'rekomended', 'butuh', 'ematerai', 'dokumen', 'bintang', 'deh', 'pokoknyaa']",0,2,0,2
beneran ngebantu sekali bagi yang butuh e-materai jadi ga buat ribet,"['benar', 'bantu', 'butuh', 'ematerai', 'ribet']",0,2,0,0
"Semenjak ada app ini, jadi gampang banget buat ttd digital. Sat set beres. Nice banget pokoknya","['semenjak', 'app', 'gampang', 'banget', 'ttd', 'digital', 'sat', 'set', 'beres', 'nice', 'banget', 'pokok']",0,2,0,0
"Sangat berguna dan bermanfaat, penggunaan e-meterai juga sangat mudah dan berhasil daftar cpns.","['guna', 'manfaat', 'guna', 'emeterai', 'mudah', 'hasil', 'daftar', 'cpns']",0,2,0,0
wihh lebih cepat dan mudah. keren see. semua jadi gampang.,"['wih', 'cepat', 'mudah', 'keren', 'sih', 'gampang']",0,2,0,2
"sekarang jadi mudah berkat privy.. puas banget pake app privy, kalo lagi butuh ttd dokumen cepet tinggal buka app ini.. gampang banget kan","['mudah', 'berkat', 'puas', 'banget', 'pakai', 'app', 'kalo', 'butuh', 'ttd', 'dokumen', 'cepat', 'tinggal', 'buka', 'app', 'gampang', 'banget']",0,2,0,0
Aplikasi ini sangat membantu sekali waktu mencari materai padahal waktu itu chaos bangett huhu best bangett,"['bantu', 'cari', 'materai', 'chaos', 'banget', 'huhu', 'best', 'banget']",0,2,0,0
"ini tuh salah satu app yg selalu aku pake, cara pakenya mudah bgt, sngt2 recommended!!!","['tuh', 'salah', 'app', 'pakai', 'pakenya', 'mudah', 'banget', 'recommended']",0,2,0,0
mantap banget ni app sangat membudah buat bikin ttd.. ntaps 👍,"['mantap', 'banget', 'nih', 'app', 'membudah', 'bikin', 'ttd', 'ntaps']",0,2,0,0
"Aplikasi ga jelas ribet macam pinjol aja pake foto ktp, hanya mau TTD doang harus bayar lah ini lah....jgn dowad ges","['ribet', 'pinjol', 'pakai', 'foto', 'ktp', 'ttd', 'doang', 'bayar', 'lahjgn', 'dowad', 'ges']",0,1,0,0
"gampang bgt mau ttd pake privy ini, gak perlu keluarin banyak uang buat print kertas. udh hemat, peduli bumi yg minim kertas. aku kmaren cpns pake ini","['gampang', 'banget', 'ttd', 'pakai', 'keluar', 'uang', 'print', 'kertas', 'hemat', 'peduli', 'bumi', 'minim', 'kertas', 'kemarin', 'cpns', 'pakai']",0,2,0,0
"Keren app nya ,tanda tangan dan materai elektronik jadi cepat, recomen banget..pekerjaan jadi mudah","['keren', 'app', 'nya', 'tanda', 'tangan', 'materai', 'elektronik', 'cepat', 'recomen', 'bangetpekerjaan', 'mudah']",0,2,0,2
aplikasi privy sangat mempermudah mahasiswa banget kayak saya yang lagi skripsian jadi ga ribet katena bisah bikin ttd digital dimanapun ♥️,"['mudah', 'mahasiswa', 'banget', 'kayak', 'skripsi', 'ribet', 'katena', 'bisah', 'bikin', 'ttd', 'digital', 'mana']",0,2,0,0
"Pertama kali coba tadinya buat beli e-materai, eh langsung bisa dan berhasil. very recommended banget buat yg pengguna e-materai kaya saya","['kali', 'coba', 'beli', 'ematerai', 'eh', 'langsung', 'hasil', 'very', 'recommended', 'banget', 'guna', 'ematerai', 'kayak']",0,2,0,0
"Direkomendasiin ini sama teman untuk keperluan ematerai, ternyata mudah dan bagus 👍","['direkomendasiin', 'teman', 'perlu', 'ematerai', 'mudah', 'bagus']",0,2,0,0
"sebagai pebisnis, aku butuh tanda tangan digital yang praktis & terpercaya, dan Privy ini berhasil menjawab semua kebutuhan itu😭🫶🏻 fitur-fiturnya lengkap bangetttt asli, mulai dari beli e-materai sampai tanda tangan dokumen penting. pokoknya terpercaya bgt deehhh🥰🤩","['bisnis', 'butuh', 'tanda', 'tangan', 'digital', 'praktis', 'percaya', 'hasil', 'butuh', 'fiturfiturnya', 'lengkap', 'banget', 'asli', 'beli', 'ematerai', 'tanda', 'tangan', 'dokumen', 'pokok', 'percaya', 'banget', 'deehhh']",0,2,0,0
"sebelumnya tau Privy dari website, sekarang ada versi aplikasinya gas langsung coba dan ternyata sama sama satset kayak di website keren dan mempermudah mengurus e-materai","['tau', 'website', 'versi', 'aplikasi', 'gas', 'langsung', 'coba', 'satset', 'kayak', 'website', 'keren', 'mudah', 'urus', 'ematerai']",0,2,0,0
"admin, bagaimana solusinya, saya beli materai 5 biji, setelah verifikasi akun, ematerai saya hilang, uang saya hilang, bagaimana ini? sudah ajukan refund ke email, tpi tidak juga diindahkan email saya. tolong solusi hey secepatnya","['admin', 'solusi', 'beli', 'materai', 'biji', 'verifikasi', 'akun', 'ematerai', 'hilang', 'uang', 'hilang', 'aju', 'refund', 'email', 'indah', 'email', 'tolong', 'solusi', 'hey', 'cepat']",0,1,0,0
aplikasinya ngebantu bangett,"['aplikasi', 'bantu', 'banget']",0,2,0,0
"Berkali-kali saya mau e-sign dengan e-meterai. Di akun saya e-meterai sudah terpakai tapi kemudian failed.
E-meterai saya tetap berkurang walaupun dokumen failed.
Sejak update ke privy terbaru malah kacau.
Privy web juga tidak bisa upload file.","['berkalikali', 'esign', 'emeterai', 'akun', 'emeterai', 'pakai', 'failed', 'emeterai', 'kurang', 'dokumen', 'failed', 'update', 'baru', 'kacau', 'web', 'upload', 'file']",0,1,0,1
"Aplikasi jembut, sudah beli materai tapi tidak bisa digunakan, aplikasi scam","['jembut', 'beli', 'materai', 'scam']",0,1,0,0
Banyak bug cs nya ga ngasuh solusi malah suruh daftar ulang terus,"['bug', 'cs', 'nya', 'ngasuh', 'solusi', 'suruh', 'daftar', 'ulang']",0,0,1,1
"Not recommended. Aplikasi nya cukup mengecewakan, untuk pengguna baru cukup membingungkan, fitur nya kurang jelas. Proses ttd nya ribet. Penempatan ematerai nya jga ga easy. Pas scroll buat next slide doc nya gabisa, ga jelas banget.","['not', 'recommended', 'nya', 'kecewa', 'guna', 'bingung', 'fitur', 'nya', 'proses', 'ttd', 'nya', 'ribet', 'tempat', 'ematerai', 'nya', 'easy', 'pas', 'scroll', 'next', 'slide', 'doc', 'nya', 'enggak bisa', 'banget']",0,1,0,0
saya sudah mengirim d email privy untuk pengkinian data tapi belum ad respon. mohon bantuannya untuk pengkinian datanya🙏,"['kirim', 'email', 'kini', 'data', 'respon', 'mohon', 'bantu', 'kini', 'data']",0,0,1,0
"Tolong gimana ceritanyaaa..
Dibelinya gampang tapi pas mau pakek nggak bisaa APLIKASI ANEHH 🔥","['tolong', 'ceritanyaaa', 'bel', 'gampang', 'pas', 'pakai', 'anehh']",0,1,0,0
"Parah bgtttt udah beli materai 6 biji, saldo kepotong 78 ribu, pas dibubuhi/ digunain ga bisa. Tulisannya e-materai maintenance. Kembalikan uang saya. Aplikasi bodong. Penipu.","['parah', 'banget', 'beli', 'materai', 'biji', 'saldo', 'potong', 'ribu', 'pas', 'bubuh', 'digunain', 'tulis', 'ematerai', 'maintenance', 'kembali', 'uang', 'bodong', 'tipu']",0,1,0,1
"Otp masuk lewat email pas di masukan salah terus, yang benar nya mana????","['otp', 'masuk', 'email', 'pas', 'masuk', 'salah', 'nya']",1,0,0,0
Perbaiki posisi barcode. Untuk beberapa dokumen barcode menutupi catatan akhir dokumen.,"['baik', 'posisi', 'barcode', 'dokumen', 'barcode', 'tutup', 'catat', 'dokumen']",0,1,0,0
Lama banget ga rekomended hapus aja dari appstore,"['banget', 'rekomended', 'hapus', 'appstore']",0,0,0,1
apk asu... buang2 duit aja beli ematerai disini..,"['apk', 'asu', 'buang', 'duit', 'beli', 'ematerai']",0,1,0,0
hilang dokumen hilang ematerai jg gila lo,"['hilang', 'dokumen', 'hilang', 'ematerai', 'gila', 'lo']",0,1,0,0
kok bisa buka y kak tolong secepatnya ya kak karena mau tanda tangan kontrak kerja kak,"['buka', 'ya', 'kak', 'tolong', 'cepat', 'ya', 'kak', 'tanda', 'tangan', 'kontrak', 'kerja', 'kak']",0,0,0,1
"Setelah upgrede sistem, knp selalu pemeliharaan sistem...kapan selesainya??","['upgrede', 'sistem', 'pelihara', 'sistemkapan', 'selesai']",0,0,0,1
Bagaimana cara pembubuhan ematerai? Karena dari tadi saya gagal terus,"['bubuh', 'ematerai', 'gagal']",0,1,0,0
Kenapa akun privy saya tidak bisa ke bukak Haya lansung ke situs web..,"['akun', 'buka', 'haya', 'lansung', 'situs', 'web']",0,0,0,1
"Aplikasi t*i, servernya lemh","['ti', 'servernya', 'lemh']",0,0,0,1
Kok ini bacaan nya perbaikan sistem terus ya dari pagi sampe sore begini,"['baca', 'nya', 'baik', 'sistem', 'ya', 'pagi', 'sore']",0,0,0,1
Woi kok jumlah emeterai gw berkurang padahal blm terbubuhi dokumen nya,"['woi', 'emeterai', 'gue', 'kurang', 'bubuh', 'dokumen', 'nya']",0,1,0,0
"tidak bisa diandalkan,, menjelang penutupan CPNS tiba"" ngeblank gabisa dipake sama sekali, padahal udh beli e-meterai , udah upload file tiba"" mohon maaf sedanv pemeliharaan hangus udah dah, kecewa","['andal', 'jelang', 'tutup', 'cpns', 'ngeblank', 'enggak bisa', 'pakai', 'beli', 'emeterai', 'upload', 'file', 'mohon', 'maaf', 'sedanv', 'pelihara', 'hangus', 'deh', 'kecewa']",0,0,0,1
ini kenapa gangguan terus ya?,"['ganggu', 'ya']",0,0,0,1
Min tolonglaahh saya udah beli materainya ini mau bubuhkan gak bisa masuk akun teruss dari semalem min saya pantau 24 jam ini gimana gam bisa jugaa mohon solusi miiiinnnnnnnn,"['min', 'tolonglaahh', 'beli', 'materainya', 'bubuh', 'masuk', 'akun', 'semalem', 'min', 'pantau', 'jam', 'gam', 'mohon', 'solusi', 'miiiinnnnnnnn']",0,0,0,1
Pas di butuhin malah down,"['pas', 'butuhin', 'down']",0,0,0,1
"apk dan webnya bagus, baru aja siap membubuhi emeterai dari webnya. disaat web lain down, privy jadi satu satunya penolong disaat genting penutupan cpns. walau saat ini apk masih maintenance, tapi webnya masih bisa akses asal sering refresh aja. terimakasih privy","['apk', 'webnya', 'bagus', 'bubuh', 'emeterai', 'webnya', 'saat', 'web', 'down', 'satu', 'tolong', 'saat', 'genting', 'tutup', 'cpns', 'apk', 'maintenance', 'webnya', 'akses', 'refresh', 'terimakasih']",0,2,0,2
"Baru aja beli e-materai eh, malah maintenance :(","['beli', 'ematerai', 'eh', 'maintenance']",0,0,0,1
Tolong ini maintance lama kali,"['tolong', 'maintance', 'kali']",0,0,0,1
Eror terus susah banget,"['eror', 'susah', 'banget']",0,0,0,1
Pemeliharaan sistem terus menerus.. Menghambat kerja,"['pelihara', 'sistem', 'terus', 'hambat', 'kerja']",0,0,0,1
walah sering banget eror dalam proses pemeliharaan mulu,"['walah', 'banget', 'eror', 'proses', 'pelihara', 'mulu']",0,0,0,1
"Privy sekarang gak bisa kebuka ,,",['buka'],0,0,0,1
"Semoga kedepan aplikasinya dapat update agar tidak sering terjadi gangguan saat verifikasi, terimakasih.","['moga', 'depan', 'aplikasi', 'update', 'ganggu', 'verifikasi', 'terimakasih']",0,0,0,1
"kak, mau tanya, apa privy lg error..??, msuk lewat web atau aplikasi, ssusah","['kak', 'error', 'masuk', 'web', 'ssusah']",0,0,0,1
"Update aplikasi bukannya meningkatkan kualitas, tapi malah mempersulit pekerjaan, seharusnya setiap update harus lebih bagus, ini malah makin turun.","['update', 'tingkat', 'kualitas', 'sulit', 'kerja', 'update', 'bagus', 'turun']",0,1,0,0
Pemeliharaan sistem sampai kapan?,"['pelihara', 'sistem']",0,0,0,1
"Aplikasi sangat jelek. Loading lama, sering error, aplikasi force close. Proses ematerai sampai pembubuhan gak berhasil. Sangat tidak direkomendasikan.","['jelek', 'loading', 'error', 'force', 'close', 'proses', 'ematerai', 'bubuh', 'hasil', 'rekomendasi']",0,1,0,1
"Aplikasinya lagi error ya? Dari kemaren masuk gabisa terus, katanya sedang dalam pemeliharaan, kapan biar bisa lagi aplikasinya??","['aplikasi', 'error', 'ya', 'kemarin', 'masuk', 'enggak bisa', 'pelihara', 'biar', 'aplikasi']",0,0,0,1
"Haduh aplikasi ini seharian saya ingin tanda tangan selalu sistem dalam perbaikan,bikin orang gagal di ACC kartu kredit nya,","['aduh', 'hari', 'tanda', 'tangan', 'sistem', 'perbaikanbikin', 'orang', 'gagal', 'acc', 'kartu', 'kredit', 'nya']",0,0,0,1
"Bagian beli e materai lancar, waktu pembubuhan error terus. Sekarang malah pemeliharaan sistem gmn dah, kalo gabisa jangan dijual dulu e materai nya. Jawab aja disini ga usah neko2 pake email, sama saja ga dijawab","['beli', 'e', 'materai', 'lancar', 'bubuh', 'error', 'pelihara', 'sistem', 'deh', 'kalo', 'enggak bisa', 'jual', 'e', 'materai', 'nya', 'neko', 'pakai', 'email']",0,1,1,1
Setelah bayar e materai kok tiba2 pemeliharaan sistem?,"['bayar', 'e', 'materai', 'pelihara', 'sistem']",0,0,0,1
"Aplikasi terlalu berat, lagi pembubuhan e-meterai malah log out sendiri, streessss","['berat', 'bubuh', 'emeterai', 'log', 'out', 'streessss']",0,0,0,1
"Tolong developernya agak di uprade UX experience nya... fitur download yg di swipe ke kiri, kalau terlalu jauh swipe ke kiri langsung terhapus. Paling ga ada fitur pembatalan hapus nya.
Gw udah hati hati swipe tetep aja kehapus. Sia sia e materai gw!!!!","['tolong', 'developer', 'uprade', 'ux', 'experience', 'nya', 'fitur', 'download', 'swipe', 'kiri', 'swipe', 'kiri', 'langsung', 'hapus', 'fitur', 'batal', 'hapus', 'nya', 'gue', 'hati', 'hati', 'swipe', 'hapus', 'sia', 'sia', 'e', 'materai', 'gue']",0,1,0,0
Masa tanda tangan sendiri (pilihan menunya cm penerima) dan hasil scan barcodenya untuk verifikas hasilnyai penerima nama kita juga kan aneh... itu kan multi tafsir nantinya hrsnya gak ada menu penerima dan yang tetapi para pihak jika lebih dari satu orang jika cm satu orang yg cukup tulis telah ditandatangani oleh xxx,"['tanda', 'tangan', 'pilih', 'menu', 'terima', 'hasil', 'scan', 'barcodenya', 'verifikas', 'hasilnyai', 'terima', 'nama', 'aneh', 'multi', 'tafsir', 'menu', 'terima', 'orang', 'orang', 'tulis', 'ditandatangani', 'xxx']",0,1,0,0
"kenapa pemeliharaan sistem mulu sih min, mau ngebubuhin e meterai loh ini","['pelihara', 'sistem', 'mulu', 'sih', 'min', 'ngebubuhin', 'e', 'meterai', 'loh']",0,0,0,1
Waduh emeterai nya lagi eror.. Lagi butuh banget,"['emeterai', 'nya', 'eror', 'butuh', 'banget']",0,0,0,1
"Baru instal udh pemeliharaan jaringan, ngak jelas ni","['instal', 'pelihara', 'jaring', 'nih']",0,0,0,1
Ga guna dibutuhin malah down,"['dibutuhin', 'down']",0,0,0,1
"Jangan download aplikasi apa coba, mask iyaa isi foto Kto emang mau pengajuan pinjmn?","['download', 'coba', 'mask', 'iya', 'isi', 'foto', 'kto', 'aju', 'pinjmn']",0,1,0,0
Kenapa aplikasi nya ini tiba2 eror,"['nya', 'eror']",0,0,0,1
