review,stemmed_review,login_verifikasi_1,login_verifikasi_2,login_verifikasi_3,final_login_verifikasi,efisiensi_1,efisiensi_2,efisiensi_3,final_efisiensi,layanan_pengguna_1,layanan_pengguna_2,layanan_pengguna_3,final_layanan_pengguna,responsivitas_1,responsivitas_2,responsivitas_3,final_responsivitas
Mudah digunakan dan Aman,"['mudah', 'aman']",0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0
"Sudah melakukan registrasi ulang dimintai kode, tapi pas udah mau ubah kata sandi malah ngak bisa di tolak lagi sama pihak privy bikin kesal udah capek"" Buat akun malah ngak bisa kepake","['registrasi', 'ulang', 'kode', 'pas', 'ubah', 'sandi', 'tolak', 'bikin', 'kesal', 'capek', 'akun', 'kepake']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Error mulu lah,"['error', 'mulu']",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Bermanfaat bisa membantu penandatanganan dengan mudah,"['manfaat', 'bantu', 'penandatanganan', 'mudah']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Aplikasi yg sangat membantu bagi dunia pekerjaan, meringankan bagi semua aspek. UI/UX yg mudah dipahami oleh user","['bantu', 'dunia', 'kerja', 'ringan', 'aspek', 'uiux', 'mudah', 'paham', 'user']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
good after sales service 👍,"['good', 'after', 'sales', 'service']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Aplikasi tiba2 keluar terus setelah update aplikasi.,['update'],0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Registrasi dan proses sign nya mudah. Fiturnya juga lengkap.,"['registrasi', 'proses', 'sign', 'nya', 'mudah', 'fiturnya', 'lengkap']",2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
"Kesalahan deteksi nama lengkap. Tolong CS privy, terjadi kesalahan saat deteksi nama saya, dan nama saya typo. Saya sudah menghubungi via email, di WA tidak terdapat opsi untuk ganti nama, fitur live chat juga tidak berfungsi di aplikasi. Mohon responnya pada email saya. Edit. Baru 30 menit sudah direspon. CS Privy responnya cepat juga ternyata.","['salah', 'deteksi', 'nama', 'lengkap', 'tolong', 'cs', 'salah', 'deteksi', 'nama', 'nama', 'typo', 'hubung', 'via', 'email', 'wa', 'opsi', 'ganti', 'nama', 'fitur', 'live', 'chat', 'fungsi', 'mohon', 'responnya', 'email', 'edit', 'menit', 'direspon', 'cs', 'responnya', 'cepat']",0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0
Susah mo tandatangan,"['susah', 'tandatangan']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"Sejauh ini masih bisa diandalkan, trimakasih privy","['andal', 'trimakasih']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
aplikasi sangat bagus,['bagus'],0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
sangat bagus sekali,['bagus'],0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
bagus banget aplikasinya,"['bagus', 'banget', 'aplikasi']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Update verifikasi wajahnya keren abis. Jadi lebih gampang kalau mau ganti email. Mantappp👍,"['update', 'verifikasi', 'wajah', 'keren', 'habis', 'gampang', 'ganti', 'email', 'mantap']",2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"Buat akun baru susah sekali, pertama : masukin kode verifikasi dari email salah terus pdhal kode udah bener. Kedua buat password akun gagal terus, bingung karakter passoword harus kaya gimana, ga ada petunjuknya.","['akun', 'susah', 'pasuk', 'kode', 'verifikasi', 'email', 'salah', 'kode', 'password', 'akun', 'gagal', 'bingung', 'karakter', 'passoword', 'kayak', 'tunjuk']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Maaf kenapa waktu verif wajah gabisa ya akses ke kamera, padahal waktu scan ktp bisa","['maaf', 'verif', 'wajah', 'enggak bisa', 'ya', 'akses', 'kamera', 'scan', 'ktp']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
lebih mudah dan cepat hemat waktu,"['mudah', 'cepat', 'hemat']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Selalu minta update tiap buka aplikasi, menyusahkan","['update', 'buka', 'susah']",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
sangat membantu banget ..pokonya the best ..sukses trs y🙌,"['bantu', 'banget', 'pokok', 'the', 'best', 'sukses', 'ya']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"MOHON DIBANTU, SAYA SUDAH BERHASIL ME-RESET SANDI BARU TETAPI SETELAH SAYA MASUKKAN KETERANGANNYA (MOHON MASUKKAN SANDI DENGAN BENAR) LAMA LAMA EMOSI KALAU BEGINI","['mohon', 'bantu', 'hasil', 'mereset', 'sandi', 'masuk', 'terang', 'mohon', 'masuk', 'sandi', 'emosi']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ini kenapa dokumen saya tidak bisa buka,"['dokumen', 'buka']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"CS nya kacau, ngulang-ngulang percakapan, data yang udah ada / udah dikirim diminta lagi terus berkali-kali, chatnya langsung diclose sebelum issuenya solved, memberi perintah yang gak ada possible dilakukan dari fitur aplikasinya. Gak solving problem. Manager CS nya harus dieval itu, kerjanya cuma sesuai SOP, gak ngeliat real case di lapangan.","['cs', 'nya', 'kacau', 'ngulangngulang', 'cakap', 'data', 'kirim', 'berkalikali', 'chatnya', 'langsung', 'diclose', 'issuenya', 'solved', 'perintah', 'possible', 'fitur', 'aplikasi', 'solving', 'problem', 'manager', 'cs', 'nya', 'dieval', 'kerja', 'sesuai', 'sop', 'real', 'case', 'lapang']",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
terimakasih privy dalam tanda tangan digital,"['terimakasih', 'tanda', 'tangan', 'digital']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
sangat mudah dan cepat,"['mudah', 'cepat']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"mantul, engga pake ribet, jaya selalu","['mantul', 'pakai', 'ribet', 'jaya']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Susah verifikasi wajah,"['susah', 'verifikasi', 'wajah']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Asli dah sumpah demi apa!!! Dari tadi pagi jam 8 pagi sampe jam 10an malam kerjaannya cuman ngulangin swafoto... Demi apa!!!,"['asli', 'deh', 'sumpah', 'pagi', 'jam', 'pagi', 'jam', 'an', 'malam', 'kerja', 'cuman', 'ulang', 'swafoto']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bagus dan simpel,"['bagus', 'simpel']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Apk ttp yg terbaik,"['apk', 'baik']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Ini gimana sii sandi salah mulu padahal sandi sudah bener, sudah ganti sandi beberapa kali masih aja tetep salah aplikasi rusak","['sih', 'sandi', 'salah', 'mulu', 'sandi', 'ganti', 'sandi', 'kali', 'salah', 'rusak']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bener bener aplikasi nyusahin,padahal yang seharusnya memudahkan malah semakin sulit.🙂","['nyusahinpadahal', 'mudah', 'sulit']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Ini kenapa aplikasinya untuk selfie slalu gagal padahal sudah ditempat terangg mohon dibantuu,"['aplikasi', 'selfie', 'gagal', 'tempat', 'terangg', 'mohon', 'dibantuu']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
sangat memuaskan admin dari privy ini sabar dan mau menjawab semua permasalahan saya pokoknya is the best,"['muas', 'admin', 'sabar', 'masalah', 'pokok', 'is', 'the', 'best']",0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0
Diminta swafoto tapi gagal terus berkali2.. mau update sertifikat katanya sudah expired tp ribetnya bukan main.. buang-buang waktu. Tolong perbaiki privy! Mandatory ke banyak company harus pakai privy tp kualitasnya masih begini!,"['swafoto', 'gagal', 'kali', 'update', 'sertifikat', 'expired', 'ribetnya', 'main', 'buangbuang', 'tolong', 'baik', 'mandatory', 'company', 'pakai', 'kualitas']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
ini apl fhoto ngak jelas banget penipu ini apl,"['apl', 'foto', 'banget', 'tipu', 'apl']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Ribet banget apk tidak berguna bikin emosi di poto ga bisa""","['ribet', 'banget', 'apk', 'guna', 'bikin', 'emosi', 'poto']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"Live chat langsung di aplikasi tidak tersedia, pelayanan sangat buruk, verivakis memakan waktu sangat lama apalagi yang sempat terkendala pas jaringan error.. mohon lebih diperbaiki","['live', 'chat', 'langsung', 'sedia', 'layan', 'buruk', 'verivakis', 'makan', 'kendala', 'pas', 'jaring', 'error', 'mohon', 'baik']",1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
"Bgmn bisa app seribet & seruwet ini punya rating 4.7 ????? Tidak ada mudah2nya sama sekali pemakaiannya! Sangat menyulitkan! Bikin emosional! Sy sngt terpaksa menggunakan krn berhubungan dg pekerjaan yg mensyaratkan tanda tangan dg privy, kalau tdk, sori app ini sngt buruk!","['app', 'seribet', 'ruwet', 'rating', 'mudah', 'pakai', 'sulit', 'bikin', 'emosional', 'paksa', 'hubung', 'kerja', 'syarat', 'tanda', 'tangan', 'sori', 'app', 'buruk']",0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0
Tidak ada gunanya tiap x melakukan scen kamera selalu gagal padahal suadah sudah dilKukan ditempt yg sesuai,"['guna', 'kali', 'scen', 'kamera', 'gagal', 'suadah', 'dilkukan', 'ditempt', 'sesuai']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Swafoto sangat susah, petunjuk terkadang ada,terkadang tidak,sudah mengikuti instruksi,ditempat terang,buka masker dan lain2,tapi tetap gagal,suruh mencoba lagi namun sesi sudah gagal beberapa kali,jadi harus nunggu lagi beberapa saat..🥺","['swafoto', 'susah', 'tunjuk', 'terkadang', 'adaterkadang', 'tidaksudah', 'ikut', 'instruksiditempat', 'terangbuka', 'masker', 'laintapi', 'gagalsuruh', 'coba', 'sesi', 'gagal', 'kalijadi', 'tunggu']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"saya sangat senang dengan adanya privy, memudahkan segala urusan dokumen","['senang', 'mudah', 'urus', 'dokumen']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
bagus untuk ttd online,"['bagus', 'ttd', 'online']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
sangat mudah dan membantu,"['mudah', 'bantu']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Aplikasi buruk,udh lambat verifikasi wajah gagal terus","['burukudh', 'lambat', 'verifikasi', 'wajah', 'gagal']",1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1
"Terima kasih PrivyID, Sangat mempermudah penandatangan dokumen saya.","['terima', 'kasih', 'mudah', 'penandatangan', 'dokumen']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Buat swafoto susah bener. Dipersulit,"['swafoto', 'susah', 'sulit']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Susah buat swapfoto gagal teus.., perbaiki jgn lama lagi genting buat masuk kerja syarat pake apk ini tapi gak bs diharapkan..","['susah', 'swapfoto', 'gagal', 'teus', 'baik', 'genting', 'masuk', 'kerja', 'syarat', 'pakai', 'apk', 'harap']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Alhmdulilah Jadi Mudah Untuk Tanda Tangan PKWT,"['alhmdulilah', 'mudah', 'tanda', 'tangan', 'pkwt']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Pendaftaran aja sulit, apalagi penggunaan 😁","['daftar', 'sulit', 'guna']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Aplikasi ogah ogahan,"['ogah', 'ogah']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Help desk 2 sangat membantu,"['help', 'desk', 'bantu']",0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0
Aplikasinya bener2 mempermudah buat ttd maupun kasih e-meterai secara online 🙌🙌,"['aplikasi', 'mudah', 'ttd', 'kasih', 'emeterai', 'online']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Aplikasi yg bisa mempermudah kita untuk ttd, tidak butuh banyak waktu dan efisien. Good 👍","['mudah', 'ttd', 'butuh', 'efisien', 'good']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Jelek bangett! Masu reset password aja gak bisa! Saya coba dari pagi sampe sore gak ada solusi sama sekali. Para admin tidak membantu sama sekali,"['jelek', 'banget', 'masu', 'reset', 'password', 'coba', 'pagi', 'sore', 'solusi', 'admin', 'bantu']",1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
"Masa Sudah Di Tempat Terang Tetap Aja Privasi Fhoto Gagal,Padahal Udah Di Tempat Terang Lo GI Mana Si Tolong Di Perbaiki Lagi Aplikasinya Ini Saya Sudah 25x Fhoto Tetap Aja Nga Bisa","['terang', 'privasi', 'foto', 'gagalpadahal', 'terang', 'lo', 'gi', 'sih', 'tolong', 'baik', 'aplikasi', 'kali', 'foto']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Mudah dan Praktis Privy,"['mudah', 'praktis']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Kecewa sekali. Mau update sertifikasi gagal terus di akhir. Agent hotline live chat lama tidak respon pilih wa nomor tidak terdaftar. Gokillll,"['kecewa', 'update', 'sertifikasi', 'gagal', 'agent', 'hotline', 'live', 'chat', 'respon', 'pilih', 'wa', 'nomor', 'daftar', 'gokillll']",0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
"Sudah puluhan kali coba upload dokumen selalu gagal, gunadikit woi","['puluh', 'kali', 'coba', 'upload', 'dokumen', 'gagal', 'gunadikit', 'woi']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
helpdesk sangat membantu,"['helpdesk', 'bantu']",0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0
"perpanjang digital certificatenya ribet banget dan gagal terus, mau mudah jadi sulit gara-gara ini. 1 lagi Helpdesk/CS-nya very bad, respon bisa lama banget, abis itu waktu tunggu dr mereka sebentar, tiba-tiba chat udah di close aja, karena harus ngerjain yang lain. Diluar dari itu ga ada solusi lainnya juga. musti pikir2 lagi sih ini buat pake privy, mending cari yang lain aja","['panjang', 'digital', 'certificatenya', 'ribet', 'banget', 'gagal', 'mudah', 'sulit', 'garagara', 'helpdeskcsnya', 'very', 'bad', 'respon', 'banget', 'habis', 'tunggu', 'sebentar', 'tibatiba', 'chat', 'close', 'ngerjain', 'luar', 'solusi', 'musti', 'pikir', 'sih', 'pakai', 'mending', 'cari']",0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
Mempermudah dan terverifikasi,"['mudah', 'verifikasi']",2,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0
Loginnya susah bgt. Udh login sebentar² langsung ke log out sendiri. Waktu habis cuma buat login doang Verifikasi foto juga susah bgt Menguji kesabaran bgttt.,"['loginnya', 'susah', 'banget', 'login', 'sebentar', 'langsung', 'log', 'out', 'habis', 'login', 'doang', 'verifikasi', 'foto', 'susah', 'banget', 'uji', 'sabar', 'banget']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Nge-Bug terus aplikasinya, tolong sangat ya untuk diperbaiki sistemnya","['ngebug', 'aplikasi', 'tolong', 'ya', 'baik', 'sistem']",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sip mantap tak perlu repot2,"['sip', 'mantap', 'repot']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
sangat baik sekali,[],0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Tolong kode pengesahan untuk pendaftaran akun brimo. Semua proses sudah di lakukan tinggal proses pengesahan yang belum di selesaikan karena menunggu privyid mengirimkan kode pengesahan dalam bentuk sms tapi tidak muncul,"['tolong', 'kode', 'kesah', 'daftar', 'akun', 'brimo', 'proses', 'laku', 'tinggal', 'proses', 'kesah', 'selesai', 'tunggu', 'kirim', 'kode', 'kesah', 'bentuk', 'sms', 'muncul']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bagus , cepat aman","['bagus', 'cepat', 'aman']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Aplikasi apaan sh tolol banget, awal daftar kaga nyuruh masukin sandi pas selesai foto semua,, giliran mau login malah suruh masukin kata sandi yg tolol tolol aja nih aplikasi","['sh', 'tolol', 'banget', 'daftar', 'kagak', 'nyuruh', 'pasuk', 'sandi', 'pas', 'selesai', 'foto', 'gilir', 'login', 'suruh', 'pasuk', 'sandi', 'tolol', 'tolol', 'nih']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
aplikasi ga jelas. luemot nya superr. mau perubahan no TLP aja gagal terus scan wajah.,"['luemot', 'nya', 'superr', 'ubah', 'no', 'telepon', 'gagal', 'scan', 'wajah']",1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
Aplikasi yang sangat berguna dan mempermudah dalam pekerjaan karena tersedia fitur e materai digital yang mudah dan hemat waktu dan biaya.,"['guna', 'mudah', 'kerja', 'sedia', 'fitur', 'e', 'materai', 'digital', 'mudah', 'hemat', 'biaya']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Login aja susah.. LOH PIYEEE..????,"['login', 'susah', 'loh', 'piyeee']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Kenapa ya penerbitan ulang sertifikat gagal terus...,"['ya', 'terbit', 'ulang', 'sertifikat', 'gagal']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
Tolong untuk di benain aplikasinya swafoto ngk bisa susah banget,"['tolong', 'benain', 'aplikasi', 'swafoto', 'susah', 'banget']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Yang bener aja ini mau swafoto susah amat,,gagal terus Tolong di bikin mudah lah swafotonya jadi susah mau daftar","['swafoto', 'susah', 'amatgagal', 'tolong', 'bikin', 'mudah', 'swafotonya', 'susah', 'daftar']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
keren aplikasinya dan saya puas dengan sistem aplikasi Privy terima kasih privy sudah membantu dan memudahkan kinerja saya 👍👍👍,"['keren', 'aplikasi', 'puas', 'sistem', 'terima', 'kasih', 'bantu', 'mudah', 'kerja']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Proses mudah dan cepat ... 👍🏻,"['proses', 'mudah', 'cepat']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
mantap dan terpercaya,"['mantap', 'percaya']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Swafoto gagal terus, sesi habis","['swafoto', 'gagal', 'sesi', 'habis']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Aplikasinya susah login, padahal sudah verifikasi. Harus berulang-ulang baru bisa. Selalu error. Semoga dapat diperbaiki agar memperlancar pengguna.","['aplikasi', 'susah', 'login', 'verifikasi', 'berulangulang', 'error', 'moga', 'baik', 'lancar', 'guna']",1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
Disuruh ambil swafoto salah terus,"['suruh', 'ambil', 'swafoto', 'salah']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Aplikasinya aneh udah beberapa hari gak bisa tanda tangan materei,"['aplikasi', 'aneh', 'tanda', 'tangan', 'materei']",0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0
"Sudah beli e-meterai tapi tidak bisa di tempel, kenapa bisa seperti itu.? Mohon diperbaiki","['beli', 'emeterai', 'tempel', 'mohon', 'baik']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"Untuk verifikasi gagal trus, sudah ditempat cahaya yg terang.","['verifikasi', 'gagal', 'tempat', 'cahaya', 'terang']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Sudah beli ematerai tapi gak bisa di gunakan 
Gimana sih
Live chatnya juga ga bisa mengarahkan cara penggunaan nya 
Di review nya ada menu menandatangani dengn materai tapi faktanya cuma bisa ttd aja dan menu materai tidak ada 
Kecewa, pdhl lagi butuh banget","['beli', 'ematerai', 'sih', 'live', 'chatnya', 'arah', 'guna', 'nya', 'review', 'nya', 'menu', 'menandatangani', 'dengn', 'materai', 'fakta', 'ttd', 'menu', 'materai', 'kecewa', 'butuh', 'banget']",0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
pake privy jadi lebih mudah buat menandatangani berkas. 🥳,"['pakai', 'mudah', 'menandatangani', 'berkas']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
membantu penandatanganan dokumen secara cepat,"['bantu', 'penandatanganan', 'dokumen', 'cepat']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Susah sekali ribet bertelevtele sdh hbscduit kiriman tertundactrs,"['susah', 'ribet', 'bertelevtele', 'hbscduit', 'kirim', 'tertundactrs']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Foto KTP dah bagus ulang aja terus,"['foto', 'ktp', 'deh', 'bagus', 'ulang']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
bagus aplikasi ini,['bagus'],0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Bagus, bisa menandatangani dokumen dengan cepat","['bagus', 'menandatangani', 'dokumen', 'cepat']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"This is the worst application on the App Store. I depend on digital signatures for my business. Yet this app continues to disappoint. I have never had a counterparty get through the account set up smoothly. Always requires a trouble ticket. At the end of 2023 while I was trying to close several contracts, the app was not available and continually crashed or hung. I’ve seen other people’s data in my logs! Terrible service. Do not use.","['this', 'is', 'the', 'worst', 'application', 'on', 'the', 'app', 'store', 'i', 'depend', 'on', 'digital', 'signatures', 'for', 'my', 'business', 'yet', 'this', 'app', 'continues', 'disappoint', 'i', 'have', 'never', 'had', 'a', 'counterparty', 'get', 'through', 'the', 'account', 'set', 'up', 'smoothly', 'always', 'requires', 'a', 'trouble', 'ticket', 'at', 'the', 'end', 'of', 'while', 'i', 'was', 'trying', 'close', 'several', 'contracts', 'the', 'app', 'was', 'not', 'available', 'and', 'continually', 'crashed', 'orang', 'hung', 'ive', 'seen', 'other', 'peoples', 'data', 'my', 'logs', 'terrible', 'service', 'not', 'use']",1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
"Sampah ,layanan nya gak jelas masa sudah 2 hari belim bisa juga rempel materai. Habis habisin duit","['sampah', 'layan', 'nya', 'belim', 'rempel', 'materai', 'habis', 'habisin', 'duit']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Kesel bngt gabisa' buat sesi poto nya udh pndh' tmpt sama aj pdhl sesuai arahan juga untuk poto,"['kesel', 'banget', 'enggak bisa', 'sesi', 'poto', 'nya', 'pndh', 'sesuai', 'arah', 'poto']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"E materai lama, udah 1 hari blm selesai2","['e', 'materai', 'selesai']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"Trying upload 2 documents without success!! Always trying connecting with PERURI. Failed processing from phone or laptop. There is no Customer Support, always Robot Auto answer. Whatsapp contact also auto mode.  Cancelling Draft will loose eMaterai balance. 

You mau loose time or the business contract with this app.","['trying', 'upload', 'documents', 'without', 'success', 'always', 'trying', 'connecting', 'with', 'uri', 'failed', 'processing', 'from', 'phone', 'orang', 'laptop', 'there', 'is', 'no', 'customer', 'support', 'always', 'robot', 'auto', 'answer', 'whatsapp', 'contact', 'also', 'auto', 'mode', 'cancelling', 'draft', 'will', 'loose', 'ematerai', 'balance', 'you', 'loose', 'time', 'orang', 'the', 'business', 'contract', 'with', 'this', 'app']",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
sangat membantu kami.,['bantu'],0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
sangat mudah untuk penggunaan,"['mudah', 'guna']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Saya udah coba dari 3 hape yang berbeda, tetap saja pas swafoto gagal mulu. padahal pencahayaan dan kamera sudah baik. kenapa ini? error mulu tgl 16 Februari","['coba', 'hape', 'beda', 'pas', 'swafoto', 'gagal', 'mulu', 'cahaya', 'kamera', 'error', 'mulu', 'tanggal', 'februari']",1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
tai.. gk bs uploud document,"['tahi', 'uploud', 'document']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Memudahkan pekerjaan jadi sesimple itu good lah...,"['mudah', 'kerja', 'sesimple', 'good']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Astaga parah ni aplikasi untuk swapfoto tidak bisa"" gak rekomen","['astaga', 'parah', 'nih', 'swapfoto', 'rekomen']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
sangat membantu untuk tada tangan berkas secara sistem,"['bantu', 'tada', 'tangan', 'berkas', 'sistem']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Server error terus, update password selalu gagal","['server', 'error', 'update', 'password', 'gagal']",1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
"Sudah top up, tapi tidak bisa dipakai","['top', 'up', 'pakai']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"Bagus, bermanfaat, dan praktis","['bagus', 'manfaat', 'praktis']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Saya ga bisa login, udh beberapa kali ganti password jga ga ngaruh. Tolong dong solusinya","['login', 'kali', 'ganti', 'password', 'ngaruh', 'tolong', 'solusi']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"sangat baik , respon yg sangat baik",['respon'],0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0
"Ada apa ini udah beberapa kali mencoba upload dokumen malah gagal upload dengan alasan tidak ada koneksi internet padahal saya menggunakan wiffi, lalu mencoba menggunakan data seluler tetap aja keluar notifikasi yang sama","['kali', 'coba', 'upload', 'dokumen', 'gagal', 'upload', 'alas', 'koneksi', 'internet', 'wiffi', 'coba', 'data', 'seluler', 'notifikasi']",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"Aplikasi belum siap udah diluncurkan mau foto aja gk bisa gagal terus, kalo blm mampuh jgn ada di playsore malu2in aja","['luncur', 'foto', 'gagal', 'kalo', 'mampuh', 'playsore', 'maluin']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
aplikasi yang sangat membantu dan berguna untuk pekerjaan.respon heldesk juga sangat baik ketika kita ada kendala dengan aplikasi ini.dan di bantu sampai selesai kendala nya.,"['bantu', 'guna', 'pekerjaanrespon', 'heldesk', 'kendala', 'inidan', 'bantu', 'selesai', 'kendala', 'nya']",0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0
lama loading nya,"['loading', 'nya']",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Regis akun saja tidak bisa,"['regis', 'akun']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gabisa mulu reissue certificate,"['enggak bisa', 'mulu', 'reissue', 'certificate']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
